Metabolite,contrast,Genotype,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
Ergocalciferol (Vitamin D2),Female - Male,4s2-,-0.28282473613845394,0.20472239420135022,15,-1.3815036564113639,0.1873567278038447,Female,Male,Male > Female,0.5670865594639977
Ergocalciferol (Vitamin D2),Female - Male,4s2M,0.05430909653161778,0.22426214666108865,15,0.24216791527324152,0.8119298118357212,Female,Male,Female > Male,0.9751800558512879
Glucose,Female - Male,4s2-,-0.5115553260175101,0.1579838455390247,15,-3.238023003378198,0.005517045853768461,Female,Male,Male > Female,0.1097333637880563
Glucose,Female - Male,4s2M,0.1309990581955243,0.17306263184627146,15,0.7569459495559301,0.4608074837437639,Female,Male,Female > Male,0.8597683153311272
Glucuronic acid,Female - Male,4s2-,-0.7050609690750214,0.34319315181209487,15,-2.054414446652643,0.057789369520278466,Female,Male,Male > Female,0.321365274405451
Glucuronic acid,Female - Male,4s2M,-0.170871894443769,0.3759492616575587,15,-0.4545078601574998,0.6559713953446176,Female,Male,Male > Female,0.9145661700061103
Glutamic acid,Female - Male,4s2-,0.048164840862162064,0.1578879827960326,15,0.3050570411326602,0.7645147364640829,Female,Male,Female > Male,0.9525101634634475
Glutamic acid,Female - Male,4s2M,-0.19887576985343192,0.17295761947274932,15,-1.1498526081689404,0.2682079367869684,Female,Male,Male > Female,0.6505469105045617
Glutaric acid,Female - Male,4s2-,-0.38090662330212166,0.2169833451956155,15,-1.7554647936629677,0.0995742428457652,Female,Male,Male > Female,0.4341050998241392
Glutaric acid,Female - Male,4s2M,-0.016200343806764328,0.23769334553313767,15,-0.06815648864896716,0.946561303166165,Female,Male,Male > Female,0.9842990621904806
Glutarylcarnitine,Female - Male,4s2-,-0.20484968349625243,0.4159784712116643,15,-0.4924526091448079,0.6295292493051514,Female,Male,Male > Female,0.9145661700061103
Glutarylcarnitine,Female - Male,4s2M,0.7461217147642305,0.4556815842382838,15,1.6373751772555076,0.12235439111664634,Female,Male,Female > Male,0.4649466862432561
"Glutathione (oxidized, GSSG)",Female - Male,4s2-,-1.256878571667185,0.41746604779372876,15,-3.010732437547143,0.008778742009074796,Female,Male,Male > Female,0.1334368785379369
"Glutathione (oxidized, GSSG)",Female - Male,4s2M,-0.09453055295365298,0.45731114273831003,15,-0.20670948970895026,0.8390164994842423,Female,Male,Male > Female,0.9754360847578736
Glycerol 1-phosphate,Female - Male,4s2-,-1.5621615070310964,0.40901102957394686,15,-3.8193627899432148,0.0016755819905583508,Female,Male,Male > Female,0.1097333637880563
Glycerol 1-phosphate,Female - Male,4s2M,-0.039956086214104625,0.4480491343321266,15,-0.08917791186822441,0.930120323494122,Female,Male,Male > Female,0.9830965645260357
Glycerol 2-phosphate,Female - Male,4s2-,-1.4548071089047228,0.4292876187475283,15,-3.38888671690371,0.004049069585447705,Female,Male,Male > Female,0.1097333637880563
Glycerol 2-phosphate,Female - Male,4s2M,-0.11040670720972412,0.47026102489139787,15,-0.23477749880552287,0.8175561746100948,Female,Male,Male > Female,0.9751800558512879
