Sample ID,Mouse ID,Genotype,Sex,Tissue Weight
S1,MAD_39,4s2-,F,3.9
S2,MAD_163,4s2M,F,4
S6,MAD_179,4s2M,M,4.3
S8,MAD_185,4s2-,F,5.4
S9,SAD_154,4s2-,M,5
S11,MAD_59,4s2M,F,5.8
S19,SAD_312,4s2-,F,5.4
S20,MAD_134,4s2M,F,4.3
S21,MAD_81,4s2M,F,5.2
S23,MAD_75,4s2M,M,4.3
S25,SAD_264,4s2-,M,4.4
S34,MAD_154,4s2-,F,5.6
S36,SAD_302,4s2-,F,5.4
S38,MAD_61,4s2M,F,4.7
S43,SAD_282,4s2-,F,4.9
S45,MAD_37,4s2M,F,6.8
S52,MAD_58,4s2-,F,5
S58,MAD_139,4s2M,M,4.8
S59,SAD_293,4s2-,M,5.2
