Lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68
SM(d18:1/18:0)/SM(d16:1/20:0),94915681,93206031,6602743,94587940,92707595,91049711,95760531,93529255,92449782,94407909,94349070,93186753,91800248,92508769,93078781,91791053,95597104,92386588,55488193,90112312,91996815,91314940,91355674,93813281,90286701,92491710,92263232,90144044,90249959,57639053,92615289,93463240,93490279,91189401,94049158,92116529,91301127,91796069,91699722,91457572,87448735,91619101,85444547,93469811,91403168,90706483,90384234,89047546,89695853,89357826,92201444,87147153,90669316,90060204,83192823,539636,82557635,85073495,88833516,89300296,77770180,90436613,85033172,90554704,88544177,85820787,87928072,89320315
PC(38:6) ,48051142,40372904,706970,52382367,51830867,43947156,35744994,47172010,33038953,33408422,60320613,44035021,53433198,52875956,63436710,59013120,52706535,60576872,58794574,40783454,42400049,34705368,37687577,16667359,40615091,46486474,54171913,44414876,44030722,36721961,41577179,55875153,72452787,44118035,52290162,38786622,57476351,38732162,39814904,48086187,16065612,54030169,35354702,67326308,57228440,39392341,51982110,48583904,43869706,44812736,45153302,33390996,44547402,32844781,29676832,185860,31058031,32644283,34350849,38971293,38063499,43826368,31230017,40989416,38665294,37196843,37813455,45525253
SM(d18:0/22:0),42486419,40808757,2617615,7612694,79394904,32419008,71256552,76304918,79643930,6925617,50734107,32791217,59766492,37310542,38776007,71471822,21897328,36121245,35393089,68552115,13150423,67243373,65534006,74366733,64668292,31994123,71427716,34494324,68144047,67664139,73474547,53561174,36874741,70905491,21396214,32656076,40485672,59834916,63085648,83135709,26150526,44531701,54868920,33666823,33166191,35775671,63022384,35047245,58182085,37682647,60835603,67094427,75297714,52275472,36783227,282605,51564174,40736718,40322485,57558538,37664579,34858618,3822104,59437684,60822986,66801809,52494692,31757895
PC(36:4) ,36029427,33089382,1282481,37180483,34826693,35114887,32386492,35056595,39871275,52497235,44032687,36513859,36984672,41472089,45284900,43354515,39943260,41518539,40233106,21935650,33900571,18356248,35248368,45169087,33368383,37114494,40843372,34993673,37612303,33967859,33960591,43408969,51544173,35507590,42903528,32884406,45123036,32155596,34190564,41851165,40417154,46724813,34769876,50506138,44599197,36488977,42300627,42307842,37260742,41413601,38858813,33457702,37938284,32141085,29798404,233010,33373258,33036455,33737283,39324228,34232123,38185534,36557982,36725245,38448902,39100489,34995082,40025691
SM(d18:1/16:0),30703191,23770594,430538,29312786,27075240,25118613,24358452,29561503,29438943,34539903,29656257,26554281,28131603,24940498,29275412,25430965,27047091,34233070,35289193,23285709,23269861,20671690,18813275,25371872,19912462,24645519,23755126,24047026,27492329,21046060,23339560,30631031,33663823,22058610,25037287,22040808,22323557,19314117,20792108,22209379,19956709,23175004,16299415,29834001,24041734,17228186,19186675,17682790,17520391,18188391,20330902,14004275,18140023,15194304,13930564,42506,12234285,14238874,15086510,14259634,17211128,19637820,12837908,16080712,16337078,13411560,15535694,17200843
PE(18:0_20:4),29816386,26784363,442764,30154124,31510430,28895860,27549508,30302439,30872342,30891271,30365054,28936933,30009112,29441845,30510628,15623477,30163265,7596483,29439460,24249253,26576601,24671834,24477631,29180936,24997984,25695850,14615832,24773582,26831389,24743913,27959947,29772471,15378858,26559412,27355132,25543748,27712396,24205378,23920289,26657966,984169,26127469,21365766,28759344,25446067,22569537,24727049,23032004,23050990,23355120,23958039,19510034,24212177,20763163,18213727,65458,19447600,20121738,21769108,21630650,21426201,22770834,19933623,22658840,23957520,19925011,20602771,22311645
PE(18:0_22:6),23385746,21715929,786877,23006026,24190545,22824878,22887575,23751396,15606914,15638513,21754204,22947339,12981398,22509702,13087611,8910000,23107875,5150385,22527718,20650967,23214920,20424012,22026056,22388472,21466311,21155761,22751253,20279793,20367436,19972015,11784541,22396359,22738939,20529748,14973700,20610360,10223522,20727385,20682287,20419505,19578504,9550507,9813807,12717880,18557606,7065779,19231458,19518834,18893556,8111520,20213880,17101092,20802986,18456443,16983672,102962,17564769,17952998,18821401,19467615,19082665,19040924,16875986,19137343,8827362,18152382,18517026,18902162
PS(36:1),20975845,19732175,1212567,12634186,10671120,18423306,10310225,20123855,8079275,23808300,12900805,19208843,19872924,18774848,20160116,18780125,20882572,9979765,6139320,18603398,18369514,17854747,16702873,19045394,8280096,10390501,19133764,10842178,17679912,18824739,19435141,10288747,10097373,17703167,19806060,17700860,18133406,18633151,10602362,17005831,16332015,20004584,16209921,22782469,19753364,17045530,16425264,16210205,17738503,16962905,17948495,15946925,17008892,16265011,15871654,79070,15117498,14973895,15279445,15397030,16413188,17976441,15601949,17644293,16615261,7089354,15904307,7644201
PC(38:4) ,20272732,16726743,754248,19575135,19349643,17863857,25574844,21362470,31410539,26012822,22799620,18314874,3410872,16383448,33332692,21329505,20276682,23895611,29983580,13109441,25389570,10676433,4450052,12469991,13893631,26139129,2067276,15842676,27133185,11529962,1956719,23932870,29069246,13334449,18634872,13856362,19137504,11900256,15751099,14821115,14016453,27896717,10141703,30376178,16143403,24807277,16098667,13306373,10323671,17500312,25064720,11302133,2554228,2310479,6320714,163218,9504070,7102673,7201933,12866968,9963085,13520015,10615325,25768007,12558664,14131220,8966878,13515991
SM(40:3) ,17955713,17137943,704086,19898735,19257737,18236915,16497448,17976509,21168593,26353388,22764815,17970523,19703290,21342347,22663927,22450106,20503767,20962512,20945613,16661935,17829421,16414371,18022591,21249280,18074437,18727092,21419870,4852831,19215396,17010210,18139464,22692888,26514369,18239424,21383176,12353300,18047472,17066678,17225335,20854701,20420521,22845324,17391089,6827799,22115886,19445388,22321591,21022756,19408591,21032480,19170785,16544988,20085050,17062048,15712945,127110,16072439,7944836,18400628,20943553,18207521,19259624,18675743,19002301,20539217,19812947,18061071,21176451
PC(32:1),17210194,20515911,153369,16249013,12712361,1320616,7903270,30767440,37184537,17912534,21428657,28752685,1929194,17722899,13112836,32358196,11913250,23051387,15419770,11644398,12812357,12252702,9970656,15478917,6998614,15366035,11530197,13833164,26310818,9846608,10078624,17591973,35324111,13489613,12421212,10194577,11957380,944168,6204323,7778873,15620710,18675450,9527568,7326931,13891526,6457912,13383949,13147403,1378245,4580199,9788269,11394795,12298100,11045648,10494030,67098,9095987,12370880,12048987,16381896,10727874,25134595,8432194,8218105,7567525,7784855,7068137,21575226
HexCer(d18:1/24:1),16439331,15477483,1991320,17038560,16480584,15606230,15124455,16522754,17010206,18710054,16998737,15593073,15665457,16592948,15917197,16171084,15532437,17260436,16237112,14981910,15334062,13960329,13652026,16391171,15257387,15095688,16072139,14921441,15524666,14053470,15160740,17273798,17121652,15050092,16124867,14679665,14912435,14515318,14074270,15299221,13795760,15728663,12964276,16894098,15467502,12623309,13789608,14622004,14033880,13554216,15000495,12461496,13319808,11967035,11829898,125689,12222928,12035070,11653261,12830860,13507455,13576157,11286597,12850669,13976658,11796116,13110228,13094443
PC(31:0) ,14022681,9731419,11533,9677765,12603242,10945857,4284243,15510866,11303970,4868204,10134949,10805093,15332900,3673466,5409859,3879193,4437761,12266914,12709801,7954605,7161870,7516410,7818720,3961323,7561046,7756948,3836278,6998790,11199796,3358493,10254824,12386852,4707293,9213900,3422327,9128497,3774995,8560539,3064414,9245460,8065633,8762575,7058874,4315799,8088445,2489949,2770226,8088411,2553640,2624863,8952701,5466779,2615008,6295507,5646702,18767,4791617,2555019,7528369,2553366,6466149,6383337,1981933,2209262,2670685,2161465,5478398,7111855
PC(O-16:0/16:0),10754376,9108630,193515,9036633,11174897,9805760,3732511,13635845,9239341,4400527,9283466,10347079,13152835,3173916,4708328,3330918,3592347,10643614,10722338,7500262,6845118,6325543,7904617,3360837,3514855,7224513,3204307,6438967,10029413,2899153,8894502,10405683,4083612,8168329,2997669,8372789,3412991,8002338,2600290,8231769,7735052,7332932,5881807,3631438,7567249,1982946,2479702,6554372,2304051,2381174,8867491,4374915,1978882,5804983,4527049,16385,4485648,4852192,7008790,2256274,6301891,6048240,1839549,2082677,2303457,1881312,2754687,6128203
PC(P-16:0/18:0),10496175,7941927,113872,11124358,10355134,9321727,7093658,11184899,12417401,14978364,12189632,8843727,11415173,9341661,11414742,9947715,10109914,12945899,10522618,7326305,8514012,6638416,6401396,9105840,6807127,7851128,8171706,8281835,8014649,6173117,7385909,11217325,13119438,7559694,8652748,6490880,9147473,6189981,6100215,8412191,7335562,9310337,5800600,10227644,8915519,5800986,7112074,6858304,5960618,6415510,7403706,4993042,5981582,5062426,4573169,23187,4503489,5150328,5712664,5571630,6330897,6131586,195131,6345168,5902504,4980873,5315964,6576695
PC(18:0_22:6),9269996,8014337,484574,8987059,9481133,8960205,5563558,9487536,9492837,5354448,8691643,9299821,9484400,6744186,9930145,9246581,10145148,9825453,8935944,8489539,8535880,7881054,8050788,9851510,3526317,8646022,9255855,8704059,8235484,7573003,8306178,8516460,9650414,8556386,6167954,7956914,9603399,5371981,7960902,8475035,7667639,5058667,6768703,9841106,8765136,3005094,8571806,8039402,8107810,8051545,5137523,7217351,8040957,6637421,6374122,97507,5137302,7147640,4013223,4734788,7405909,7926333,6622635,7756482,8027425,7515150,7226415,3521838
PE(P-18:0/22:6),8977136,7812745,125624,8937810,9540013,8740129,8292887,9432686,9943402,9996168,9808543,8991372,6141151,9663184,10299288,9506807,9335661,10105473,8701513,7893064,7926964,7505061,7894785,9682660,7801794,8419903,9132876,7957984,7935904,7808394,8435601,10136485,10246370,7713961,8825246,7716161,9261268,7469869,7286332,8433311,7828503,8182814,6803748,8858048,8213138,7124059,8098955,8054758,7375928,7663776,7712222,6318731,7931963,6323501,5966726,26540,6275558,6368583,6950243,7226034,7001173,7512635,6394994,7562460,7340126,6919857,6726026,7183074
PE(P-18:0/18:1),7075835,6590408,204408,7052430,7166632,6626064,6416160,7419394,7136234,7473369,6841099,6717037,6849664,6547510,6712687,6175642,6856311,7358987,7165313,6045200,6518541,5522159,5858420,6307780,5590242,6184523,5994929,6111062,6169267,5738678,6538003,6298219,6707912,6222345,6209213,5729219,6037254,5296035,5607899,5836672,5362626,5968557,4791098,6602157,5936975,4855002,5154760,4930097,5022526,4979450,5623706,4620546,4935867,4281023,4049191,18697,3929966,4342736,3868393,4282577,4937910,5155861,3577216,4882750,4648322,4026328,4671193,5007470
PC(16:0_18:2),6948433,4088345,311841,1292665,4579320,4931285,8788212,7655749,4645523,11207158,5517056,4883606,10593329,7238806,10235476,7587012,8037873,4587276,7429999,4754388,4210069,4307070,4176204,8406905,4650726,4863360,7719352,3946479,5277163,6518521,5386798,4221232,9726460,5218104,8018610,5238190,8828938,6831957,7962043,4188094,8130245,4240163,4273201,11485093,5783901,7910629,7606853,6143193,7032978,6929793,4108451,4288960,2208548,7044533,3933089,144234,2844402,4196832,3493666,7138258,4542212,4495632,5460240,7432433,8311563,7110061,5172940,3558035
HexCer(d18:1/24:0),6644776,6827177,967898,6142163,6101769,6116894,6500756,5964944,6197598,6075616,6150604,6576321,5865614,5839221,5778933,5719838,6022728,6080290,5925476,6029808,5990657,6083949,6163032,6249100,5454469,6146854,6035294,6066843,5981029,6201484,6495399,6419367,6738941,5510189,5842526,5559138,5967130,6048524,6331112,5637512,5664766,7073982,5762311,7604274,6732172,5581321,6175968,5783545,5918746,5738430,6416450,5491622,6120713,5718792,5374191,61572,5005366,5206339,3993348,5675375,5323645,6031932,5169589,5886239,5265956,5236062,5715542,5608858
PE(40:4) ,6586215,5526289,73169,6460269,7172822,6050543,5943211,6628190,6664244,7698973,7015864,6615813,6906633,6756354,7422201,6495418,7023009,7547319,6111216,5251478,5129657,4787489,4852327,6789316,5369136,5464391,6398774,5167010,5571879,5091584,5890465,6742582,7461042,5227112,6106236,5110526,6037827,4722963,4809495,5589534,5410659,5352950,4019143,6135680,5524001,4147087,4883408,4593436,4524838,4874094,4783477,3359901,4701353,3726767,3084748,9042,3176884,3431581,3936987,4142148,4103994,4565420,3802621,4234301,4510705,3727920,3545200,4380931
PS(38:4),6541949,5265572,58342,6837789,6811255,5895809,5697075,6565597,6939596,7739344,7568343,6059315,6326536,6403584,7308760,6385853,7150143,7713164,6310672,5004767,5520855,4713291,4567759,6291251,4884329,5382191,5917600,4878593,4965833,4724298,6109873,7533259,7432779,5170010,5644471,5337425,5777007,4527296,4932148,5279239,4741144,5659091,3583555,6890878,5849478,3957281,4550066,4198832,4169801,4444054,4460815,3391816,4379358,3463383,2772128,7162,2945971,3245895,3537321,3531631,3835153,4305578,3227796,4098516,3873695,3404677,3336180,4460621
Cer(d18:1/18:0),6541047,5335566,183707,5381051,5866339,5048279,5729475,6015507,5734927,6627564,6062801,5288104,5670286,4917767,5671067,5095954,5378795,6887164,5890143,4453836,4474853,3940077,4250161,4945566,4084813,4373385,4965766,4367369,4838341,4407619,5114598,5968131,5981504,4330847,5097706,4464154,4873111,4514592,4188201,4635040,4057059,4915773,3408475,6415333,5492997,3576629,4094603,3961212,3357286,3812116,4243818,3055500,3491932,3225035,2611465,17313,2565545,2738148,3464408,3385590,3418979,3682893,2888443,3131233,3354691,2713629,2818265,3331488
PC(38:5) ,6190708,7862875,167787,6985540,7590790,6501493,7521862,5220383,8192051,11107672,8170495,6986714,6514675,8062817,6908650,10198504,8342417,8984749,7106624,7913505,7303450,8063659,6823861,8586973,8497020,9032997,9913739,8613929,8977427,8083797,5721404,7659170,11191096,7285422,3711708,7956597,10775992,8114667,8330247,8500154,6346169,9748397,7796022,11397096,11329089,7733885,11080056,10240198,8048782,10545081,8251356,6962146,9229287,5369979,6926645,37908,6785512,6718606,9738024,6647445,7783244,9193237,7784204,8605766,8341215,8412025,10484499,10834101
SM(d18:1/24:0),6159565,5520041,429130,6030920,5507606,5434522,5475766,5713115,5743300,5239238,5770375,5845781,5386103,5094969,5563945,5300119,5911597,5836688,5582930,5141429,5312235,5263909,4876108,5131230,4922728,5139549,5601878,5519034,5565088,5205564,5768672,5720425,6094525,5003296,5784710,5003988,5379936,5054045,5021295,5118952,4395358,5539547,4511917,6377317,5613855,4786551,4772256,4916566,5158488,4845989,5005740,4692768,4800422,4995734,4533536,25665,3911121,4692635,3194466,4605958,4834202,5178496,4539568,5300114,4556340,4366795,4744044,4445747
PA(34:1),5203703,4481585,225273,4796071,4401740,4820850,4574984,4795201,4757488,4548102,4581511,4430442,4360352,4445164,4108458,4002706,4598801,4618306,4908061,4468230,4531494,4443906,3835078,4219601,3821330,4124649,3872462,4811842,4745038,3955894,4469780,3983896,4118995,4139246,4335065,3990539,3522516,4085690,4201091,3819972,3834916,3863682,3240591,4156364,4014851,3363703,3374630,3358124,3545348,3486292,3979536,3451739,3629289,3457812,3188145,25459,3075113,3205263,2840023,2748929,3605701,3854813,2679326,3478901,3419726,2811181,3449264,3525694
PI(18:0_20:4),5197511,4599542,188127,4757888,4827333,4294636,1801240,2807060,5019663,5170539,5227565,4761400,4710252,4686003,2531466,4795906,4766507,5181242,5119248,4658017,4597413,4362641,4455626,4749161,4545951,4893769,4601314,4696655,4576453,4543348,4842658,5249077,5363051,4672766,4913962,4436748,4663778,4863846,4615587,4492604,4299604,4686865,4271019,5384378,4918428,2028835,4444545,4590591,4302484,4626110,4591293,3856224,4498350,4030348,3661694,15260,1658139,3871781,4483715,4181888,4563217,4413208,4222998,4243887,4305361,4125231,4177375,4391406
PE(16:0_20:4),4526064,4021373,43007,5006904,5204594,5017962,3856223,4989347,5594723,6350160,5628716,4680744,5508839,5138728,6385852,5475467,5564200,5883955,5521629,3881719,4000878,3570246,3841482,5388615,3906846,4244087,4942581,4130667,5021305,3585994,4029496,5172302,5690332,3988038,4465543,3703325,4908942,3302515,3347418,4128694,4067225,4363673,2987727,4753768,4123108,3579198,4041694,3635986,3421429,3729425,3552807,2850733,3808027,2847877,2455511,9563,2606867,2957288,3031967,3406351,3335206,3649824,2913146,3262557,3355396,3031058,3015600,3463353
PE(P-18:0/22:4),4389613,3553357,33216,4657014,4788074,3996291,3751581,4601657,4504795,5490911,5026393,4315286,4900307,4648880,5295302,4708391,4882742,5343448,4516559,3478232,3666682,2943050,3291581,4752881,3590776,3868124,4495912,3599240,3836647,3362397,3925134,4793154,5463582,3646546,4212613,3546078,4420147,3116581,3174228,4037738,3689147,3854297,2626240,4678280,3859152,2900365,3565711,3369712,3021595,3383427,3319113,2327805,3272705,2410453,2011442,6240,2123398,2215581,2365676,2639628,2850108,3072364,2412010,2934758,3105488,2529508,2473444,2925681
PC(40:7) ,4176300,4480977,216319,4915486,5030453,4746107,4022604,4803594,4918805,5361703,5051240,4631473,5403333,5119246,5182406,5508931,4912855,4871634,4879006,4965281,4946456,4570525,4817327,5465066,5022352,5705228,5221282,5449732,4830758,4683640,4762183,5990596,5809192,5593098,5724290,5403359,5947953,4975153,4964581,5856568,5882631,6904023,5273859,6422537,6712694,5465017,6335497,6379235,5442171,6004288,6044440,5315179,6052916,5053445,5043198,37793,5104330,5029866,5347439,5423714,5562308,6052102,4723743,5640285,5841911,5790325,5931959,5523440
PE(P-16:0/18:1),4008405,4211668,84410,4480727,3670007,3760588,3424268,4525613,4274057,4165700,4065390,3753025,3442590,3687552,3331431,3314552,3807275,3826138,5286042,3882449,4125803,3706433,3213204,3259639,3345009,3837729,3231166,4249335,4491900,3398263,3329031,3403947,3625341,3780433,3872071,3209562,3144915,3240107,3374470,3190300,3095325,3623664,3412867,3758872,3687004,3133803,3011552,2866436,3130705,2815318,3588109,2878438,2878430,3010568,2878631,11540,2549520,2922008,2348858,2385423,3056193,3199254,1993268,2937862,2819711,2410195,3200582,2921161
TG(52:2) ,3643504,6237267,96140,3963360,5739257,4941912,2469696,5704169,4497948,2989767,5853265,3818550,3481602,3149367,2955934,2883737,3166891,4985289,4572919,7142973,2865230,5867013,1963040,2552296,3337117,4429727,2397991,5448189,3003581,1920575,3346114,4059008,3708995,3468465,3859233,4933568,2500955,2637710,2018998,3676403,4796810,3211996,1623103,3366181,2467270,1130765,1681114,5215710,1423012,1590234,2198401,1586715,1370327,2763166,1873557,19233,1993516,1865239,1487537,1326004,2112549,4559216,1508436,1259856,1307609,1067845,3526173,3101081
SHexCer(d18:1/24:1),3206591,3219707,345861,2714188,2558429,2644112,3290464,2825258,2859679,2941278,2929852,2700833,2579738,2702983,2526552,2570708,2732270,2835116,2716037,2862932,2698314,3091041,2698436,2498993,2660339,2837508,2635670,2832528,2596660,2963317,2885457,2805443,2797317,2647615,2765918,2837794,2437854,2965339,3023320,2724842,2566450,2999218,2659187,3230733,3188348,2804697,2719192,2612881,2869451,2601340,3014288,2712957,2639135,2819971,2854310,19736,2496053,2479096,2387361,2498653,2652452,2908696,2763420,2822204,2679855,2500442,1499639,2571322
PE(18:0_20:3) ,2954984,1481575,47041,3096327,3170134,2912717,2890996,3036053,3241210,3417826,1297393,1210820,3152815,3075349,3167086,3152573,3096609,3324335,3031156,2679046,2799047,2575146,2613838,1706124,1232332,2737907,2982943,2767353,2758222,2545791,2817819,3107644,3199216,2781672,2893068,2615413,2968524,2499999,2566764,2781641,2592947,2729003,2151542,1042489,2734839,2353286,2506436,2475785,2342126,2478642,1427893,2073278,2438407,2134533,1899571,7429,1958487,2122853,2195863,2314615,2369418,2467764,2049434,2346197,2413613,2071716,2043209,2391004
PE(P-18:0/20:4),2939584,2761206,51175,2850523,,2893117,2796655,3043254,3416244,3616596,3409879,2844518,3047135,3000011,3349256,3045193,3114648,3538340,3198957,2704265,2752681,2422875,2620115,3150105,2735205,2777341,2955313,2638859,3203402,2602005,2788277,3189620,3568366,2666418,3019188,2624792,3133430,2522075,2530283,2761657,2623084,2785865,2417563,3235153,2939726,2688599,2804135,2733379,2559939,2707652,2585384,2258188,2666044,2240928,2160558,10343,2159196,2207273,2328423,2573152,,2557106,2295028,2630593,2670732,2478482,2447343,2681804
TG(50:1) ,2890168,3202011,155049,3151735,3163136,3053081,2651488,3612971,3633058,3620960,3999003,3046220,3020933,2792171,2943669,2692818,3244811,4061237,3645943,4398756,2601297,3351502,2175159,2252795,2331475,2713633,2523375,3663659,2587057,2107159,2787203,3387299,3596503,2598937,3003586,3207843,2505643,2216667,2006520,2693642,2570578,2594750,1649808,2842558,2445003,1488417,1943707,2830426,1650683,1673286,2167424,1672008,1490542,1870452,1674176,19664,1227617,1770621,1361946,1495879,1728677,2317339,1327012,1364881,1418819,1105209,2237663,1810492
PI(16:0_20:4),2768012,2044483,16237,2771821,3014083,2279635,1946378,2985849,3328589,3413312,3180945,2528178,2945240,2418577,3143655,2737959,2775820,3650688,3151081,1942950,1999325,1615852,1723631,2756684,1781216,2152355,2377925,1918187,2341460,1543417,2341163,3141011,3635934,2067312,2305649,1777576,2299599,1711873,1650315,2140385,1699318,2263180,1257145,3145892,2688141,1312337,1642657,1659363,1394455,1619325,1787213,1026709,1530585,981074,868540,2569,972345,1019130,1242561,1255209,1363071,1534093,995668,1284941,1327285,1095782,1119852,1545487
PE(P-18:1/18:1) ,2687591,3462909,165661,3450758,2933902,3285774,2632904,3047197,3398026,3687191,3702803,3062390,3221150,3439522,3155427,3601279,3010318,3155657,3452082,3907146,4192507,3722817,3445795,3407791,3629528,4294005,3503850,4069636,3466721,3305725,3063055,3708569,3770033,4313680,3997779,1796632,3939348,3765420,3759529,3956095,4234109,5110634,4744654,4357201,5141069,4182022,4400446,4653501,4643562,4300499,4781989,4227928,3987472,4033510,4500556,37225,4374165,2071314,4055806,4053878,4446564,4811836,3553234,4680531,4002215,4914432,5251129,5012143
SM(41:1) ,2536935,2452310,260301,1901031,2052699,2296286,2259841,2324050,2207978,1914115,2185731,2170189,2277879,1972514,2225497,2045530,2091599,2158849,2182927,2178287,2297321,2278553,1981494,1859597,2004258,2040752,2159468,2123886,2167757,2234757,2189045,2366579,2284312,2050945,2244996,2167348,2186871,2120158,2167332,2033886,1970195,2188953,1936591,2803642,2481963,2073117,1988607,1906534,2146744,2079694,2316311,1921169,1941252,2150718,2016213,11589,1879841,2127210,1623732,1967971,2066717,2137072,1894875,2067156,2025562,1877487,2046584,1937722
PE(P-16:0/22:6),2516190,2572646,66659,2993053,2878285,2824063,2049846,2960137,3270840,3270382,3356880,2651406,3236512,3245247,3145711,3254247,2894324,3075023,3637631,2675974,2880485,2424026,2602226,3016176,3006831,2855792,3062890,3103131,3476840,2386551,2626187,3011099,3464605,2943233,2829063,2360244,3265317,2234663,2450764,2929348,3178396,3223478,2846871,2980676,3178318,3000595,3252277,2997733,2944889,3089823,2988823,2451674,2670324,2306414,2266432,15561,2488691,2686811,2403021,2914940,2912098,2803576,2523412,2830838,3057250,2694347,2795523,3434519
AC(16:0),2349395,1246348,26862,1422027,1132656,1609288,750798,2205481,1777536,1889954,1858322,1031671,1700165,1330439,1598749,1256648,1491252,1854173,1360500,1043357,1292679,920474,907267,1180069,1021088,821897,1019096,1346554,1251168,865005,984150,1960723,2105366,1177364,967214,748343,1365152,1068786,866950,876395,695984,1452052,1065998,1880637,1620208,912607,985054,952022,976125,789896,1053627,726536,765046,698801,664762,6008,658999,701142,748676,862990,809240,816564,524105,977171,861900,616253,789581,1016277
PC(18:0_20:3),2342668,2475309,16658,3697012,3966673,3094837,1512054,3151200,4249185,4006721,4064342,3425055,3795586,3399025,3757228,3160380,3614791,4276862,3537681,2322133,2639395,884615,2073966,3860771,1962954,2322147,2881561,2618523,2609568,1819044,2516716,3611288,4812935,2018466,2946790,1961940,3123286,1897802,1958725,2689362,2418995,2632117,1350571,3144566,3163120,1275231,2750297,2420119,1361774,1605965,2066255,1463292,1508722,1220126,1258582,3885,849401,1408351,1053955,1229531,2158547,1551113,969636,1517329,1390625,1372963,1234527,1599173
SM(42:2) ,2277975,38101575,1501290,46189906,30570486,41754720,34529266,44139509,49371324,45401828,47719605,40842609,46580919,41867596,47810257,44582981,47193802,51225624,42919418,37417427,38301930,35371618,32938982,42073527,35117693,38831088,41839651,35266067,35694389,33266366,39839751,42368920,47356010,35727279,40600808,35845329,39193489,35817785,33417539,37971418,36034579,37460483,28980333,41749735,21702285,27936323,34307024,35075151,33461164,33319042,36368201,1493665,33685380,30062783,1278029,96438,27232320,28910134,28752300,28736140,32715097,33316728,26112530,33334978,29910323,27531424,26772488,32316303
TG(56:7) ,2142682,1530166,18035,1904464,2398600,1865140,1542534,2134334,2390832,2395466,2562858,1986089,2282015,2111251,2594161,2103223,2433063,3072079,2206187,1068349,1484473,1289304,1107017,1912181,1415156,1629504,1866626,1684383,1535189,1270467,1621138,2396169,3067692,1575615,1799009,1397674,1670909,1124146,1198587,1715558,1439058,1820505,908731,2230107,1753219,1090869,1430589,1228226,1244265,1111067,1441654,880646,1194375,834387,731520,6105,647610,932256,793703,923517,939383,1090203,736373,1010701,908380,816400,934496,1015344
TG(50:2) ,2067098,3300648,60244,2784336,3323940,2509575,1433019,2854214,3444699,3877013,4327928,2427670,1642535,1762660,1340088,1498374,1501896,2876313,2596353,6802289,1804933,3151525,1072388,1466490,1904259,3308963,1123779,5387507,1372238,891905,2242256,3052399,1984645,1504341,2250554,2485301,1370741,1702215,952294,1953982,2065738,2064132,758563,1939927,1269305,600150,776128,3263745,543444,675978,1302551,943942,653911,1444574,1245931,15642,947025,1066135,737599,677495,1009279,2972588,750264,517210,638116,496587,2305121,1653315
PI(38:5) ,1909309,1255076,8013,2284866,2189353,1669241,1089408,2191620,2804330,2748270,2609203,1911726,2448288,1815045,2331154,1965185,2038570,3200981,2141817,1327578,1435413,972997,1204363,1926407,1190072,1493797,1710660,1447552,1494001,935363,1747002,2807406,2929907,1468252,1612041,1159746,1651720,1039696,971704,1687990,1258451,1790033,812019,2201190,2050860,757743,1099004,1184590,833775,962653,1314653,664230,910040,638150,529070,2258,574549,664998,770004,756005,901820,1054632,585621,833128,809795,650552,709391,1051304
PE(38:5) ,1893516,2368222,52670,2399134,2206548,2115155,1872848,1901180,2527284,2708529,2234564,2363139,2178960,2674357,2873100,3247512,2418118,2045894,2828990,2607913,2750640,2236541,2631811,2592586,2689738,2470941,2928643,2680106,2592305,2471737,2175877,2859171,2955243,2923951,2884235,2278690,3114305,2336275,2526978,3111619,3319568,3605868,3054944,3048426,3185821,2902334,3398027,3358102,2881441,3345841,3222487,2489407,3019325,2591340,2647615,13244,2480779,2939587,2626503,2926401,3138073,2988309,2592911,3152334,2943673,3170032,2972034,3319158
PE(P-16:0/22:4),1886628,1626106,19646,2282729,2244034,1802963,1428018,2091524,2637889,3261363,2773644,1953626,2352158,2130176,2488743,2420134,2223889,2862685,2824677,1526983,1693645,1294672,1452457,2234551,1564894,1826787,2085586,1796778,2293919,1418562,1672717,2681284,3219796,1718661,2128256,1476460,2158756,1385627,1480087,2008361,1908806,2194889,1405700,2707950,2208281,1385865,1793889,1636366,1414119,1711236,1752369,1107317,1483771,1135478,967285,4377,1007173,1110006,1118275,1338776,1335110,1533796,1115234,1335841,1480909,1190138,1278139,1558228
TG(52:1) ,1837187,1772753,82840,1756082,1807541,1732978,1711197,2245161,2011434,2456291,2342829,1753223,1739036,1731457,1789722,1588182,1983941,2425640,2035204,1911109,1463214,1703584,1211951,1417615,1311123,1332005,1526029,1795500,1422282,1387500,1701281,1807560,2307548,1489132,1859140,1743246,1488519,1262668,1275039,1583148,1496633,1466000,917944,1976494,1594236,1014061,1330065,1365933,1008174,1064629,1252925,958879,935581,1049642,872795,8911,715343,941704,813625,940085,996784,1224536,785068,930714,974886,724651,1127329,1016510
