Lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68
CE(24:4),1918,1647,9,644,4269,1138,607,1988,2378,1545,2891,2988,2196,951,4903,3825,2373,3488,2264,1193,982,1570,1350,903,3555,2063,3270,2026,1408,915,1932,109684,7467,1709,1164,2431,7742,2187,1143,1462,1938,2273,2681,2372,1603,1611,3323,1373,1753,5032,1939,1228,854,785,1294,35,844,2464,4651,1544,2497,1236,5302,967,2003,739,1019,1639
AC(24:0),1860,1337,95,1800,1068,900,674,1222,1158,836,1357,415,835,1619,1703,1188,838,1694,969,571,1173,1241,451,1225,1109,298,496,1171,42,1399,377,2146,1800,536,1070,348,1389,1063,985,564,170,496,666,1967,1023,1068,933,765,938,,411,235,413,486,103,,122,294,305,218,714,237,334,289,807,276,386,421
LPC(17:1) ,1848,1272,47,1695,1989,1223,714,2052,2026,1722,2180,1830,2275,1066,1244,1007,977,2206,2980,1652,1877,1646,1375,1093,1804,2136,1225,2201,2445,942,1619,3197,1608,2092,1256,1878,1430,1690,926,1853,2546,2192,1922,1872,3266,977,1232,1780,921,1167,2718,2202,843,1369,1621,20,1550,1659,1678,897,2117,1951,777,808,1098,801,1766,2635
Cer(d18:2/16:0),1826,1347,11,2394,2102,2799,1582,1552,2443,1817,2549,2030,2536,2242,3193,3206,2302,2493,3234,2197,1759,2445,982,3164,2608,2607,3047,1104,1437,2316,2918,1999,3391,969,679,1265,1056,2344,1065,1449,2832,2915,2525,3693,1851,2523,3081,2666,2326,3177,2986,2202,1588,2712,1396,13,1906,2655,1852,2922,2578,2402,2579,2655,2652,2990,1305,3317
DG(16:1_18:1),1802,1278,84,7070,4745,603,119,1532,736,994,3903,907,374,607,272,565,485,866,897,1566,3284,901,3924,241,79,2229,2922,1285,1462,582,1075,494,444,1279,405,270,248,249,408,3835,1100,1491,1151,867,1195,2119,175,1299,924,966,904,326,2500,611,736,13,1034,717,1118,165,4042,2515,746,538,273,628,784,1994
PE(P-20:0/18:2),1783,1100,110,1885,1715,521,2652,2656,1614,3406,1765,1164,1871,2422,4539,2498,3001,1393,812,1421,1158,1057,1122,2477,1057,1430,2042,1083,662,1785,1423,1438,2929,1253,2357,1649,3163,2062,2056,1225,1598,1218,223,2520,1601,2160,1969,1207,1707,2171,1383,168,1790,1002,1297,3,593,850,492,1730,758,890,1328,1712,1995,1804,1394,1081
CE(20:2),1677,1870,43,1499,3371,1437,864,2119,2829,1645,2613,3168,2559,1312,4379,3967,2158,3869,1886,1494,1168,1786,1699,1088,3319,2281,2587,2280,1854,853,2212,36901,4692,2117,1322,2347,6256,2393,1795,2217,2657,3027,2493,2120,1716,1657,3480,2030,2030,4047,2282,1325,968,1219,1374,12,1300,2852,4344,1900,3311,1411,4089,1156,2809,904,1250,1797
DG(16:0_18:2),1610,676,34,17094,14352,533,18304,24107,16902,30605,833,9888,15019,18460,31745,25879,16304,15662,18065,14441,722,442,1117,25137,770,821,18214,9084,869,12395,9320,1860,23095,1333,17830,8839,23539,12548,13848,602,719,9593,661,24295,10641,12063,12182,11913,10721,12925,11623,475,14564,5127,5657,7,635,350,7752,10649,867,690,708,10753,13561,9283,7558,4953
LPC(19:1) ,1596,1497,70,1601,1355,1333,764,2074,1780,1481,1873,1466,1676,1150,1252,1334,973,1942,2740,1385,1517,1399,1007,1545,1244,1988,1151,1986,1924,909,979,2265,1906,1895,1378,1778,1321,1114,1025,2067,1615,2313,1822,2059,2275,1232,1215,1627,1216,1171,1967,2056,904,1268,1054,47,1467,909,1035,769,1415,1355,800,908,1039,773,1370,751
LPC(22:5) ,1546,908,5,839,1146,722,255,838,1059,817,934,2048,1730,671,1312,1181,651,2344,2397,828,1007,1028,180,1545,1288,1547,1032,768,1596,164,1218,2445,1126,1471,813,1605,1092,745,803,1426,1302,2148,1355,1067,1876,1005,1364,1243,1038,823,830,568,736,740,120,15,1407,658,2534,799,1725,1138,1027,992,777,769,774,1571
