DroppedSampleColumns
S3
S4
S5
S7
S10
S12
S13
S14
S15
S16
S17
S18
S22
S24
S26
S27
S28
S29
S30
S31
S32
S33
S35
S37
S39
S40
S41
S42
S44
S46
S47
S48
S49
S50
S51
S53
S54
S55
S56
S57
S60
S61
S62
S63
S64
S65
S66
S67
S68
