Subclass,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
PG,(4s2-) - 4s2M,F,-0.06632833034011629,0.23727141369258356,15,-0.2795462348703051,0.7836434728298439,0.7836434728298439,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PG,(4s2-) - 4s2M,M,0.012312540895537107,0.3482192352261122,15,0.03535858921619335,0.972260056922979,0.972260056922979,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PI,(4s2-) - 4s2M,F,-0.1346453483772894,0.19905436754755934,15,-0.6764249889926132,0.5090675634040425,0.5090675634040425,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PI,(4s2-) - 4s2M,M,0.10298935521149122,0.29213194525672914,15,0.35254396817500705,0.7293349991340448,0.7293349991340448,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
PIP1,(4s2-) - 4s2M,F,-0.15385846404377534,0.1798751999509906,15,-0.8553622961125054,0.405806545849573,0.405806545849573,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PIP1,(4s2-) - 4s2M,M,-0.6318910856106646,0.2639846224553252,15,-2.393666266365955,0.03019631391505754,0.03019631391505754,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PS,(4s2-) - 4s2M,F,-0.12185746647594395,0.18596801668184523,15,-0.6552603434192567,0.5222232297856532,0.5222232297856532,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
PS,(4s2-) - 4s2M,M,-0.4761231699309256,0.272926432803958,15,-1.7445110209347992,0.10151866319939044,0.10151866319939044,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
S1P,(4s2-) - 4s2M,F,-0.21495545669445756,0.2419527816531398,15,-0.888419034597481,0.38834019191411184,0.38834019191411184,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
S1P,(4s2-) - 4s2M,M,0.18952565733906043,0.35508960509354587,15,0.5337403703753345,0.6013417840681542,0.6013417840681542,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
SHexCer,(4s2-) - 4s2M,F,-0.06709897316548202,0.1408365174961384,15,-0.4764316411567178,0.6406326192576857,0.6406326192576857,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SHexCer,(4s2-) - 4s2M,M,-0.1233577149154429,0.20669150004709227,15,-0.5968204540938417,0.559528307375127,0.559528307375127,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SM,(4s2-) - 4s2M,F,-0.05451263429476086,0.1575442438044018,15,-0.34601476371577705,0.7341370176327904,0.7341370176327904,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
SM,(4s2-) - 4s2M,M,0.03822752268362942,0.23121173865016562,15,0.1653355617098208,0.8708875475627241,0.8708875475627241,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
Sph,(4s2-) - 4s2M,F,-0.11503391129299573,0.2730673760319462,15,-0.4212656706363117,0.6795354118009433,0.6795354118009433,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Sph,(4s2-) - 4s2M,M,0.31588789730180605,0.40075334557682396,15,0.7882352094831127,0.44283858726773895,0.44283858726773895,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
TG,(4s2-) - 4s2M,F,-0.34906122237601117,0.38447074637581513,15,-0.9079006027543338,0.3782863314977889,0.3782863314977889,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
TG,(4s2-) - 4s2M,M,0.03955026924718996,0.5642487950244955,15,0.07009367072812797,0.9450450527316834,0.9450450527316834,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
Ubiquinone,(4s2-) - 4s2M,F,-0.0188450133722071,0.2059215951617764,15,-0.0915154787792026,0.928293986232093,0.928293986232093,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
Ubiquinone,(4s2-) - 4s2M,M,0.09371667514274162,0.30221028006635164,15,0.31010419341845585,0.7607484878342274,0.7607484878342274,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
dhCer,(4s2-) - 4s2M,F,0.11365620029180212,0.27140895626223954,15,0.4187636320372042,0.6813234558042995,0.6813234558042995,(4s2-),4s2M,BH,(4s2-) > 4s2M,0.9849121744382925
dhCer,(4s2-) - 4s2M,M,-0.8155100284846198,0.39831945076031927,15,-2.047376865297338,0.058553796771236094,0.058553796771236094,(4s2-),4s2M,BH,4s2M > (4s2-),0.9849121744382925
