Lipids,contrast,Genotype,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
LPC(22:5),F - M,4s2-,-0.2979700231386624,0.45506046662422184,15,-0.6547921539946009,0.5225164157790205,0.5225164157790205,F,M,BH,M > F
LPC(22:5),F - M,4s2M,1.0007863084886688,0.4662982197033003,15,2.1462366061046865,0.0486203228979914,0.0486203228979914,F,M,BH,F > M
Cer(d19:1/24:1),F - M,4s2-,0.002452951860899527,0.3486419296875003,15,0.007035733949436867,0.9944790636498323,0.9944790636498323,F,M,BH,F > M
Cer(d19:1/24:1),F - M,4s2M,0.31197284877970766,0.35725166884569637,15,0.8732579186759644,0.3962874980981187,0.3962874980981187,F,M,BH,F > M
PE(P-15:0/22:6),F - M,4s2-,0.22069250943629154,0.7321529980752502,15,0.30142949631629984,0.7672254612975918,0.7672254612975918,F,M,BH,F > M
PE(P-15:0/22:6),F - M,4s2M,-0.8656689992941258,0.7502335724426802,15,-1.1538659839969574,0.26660932541808396,0.26660932541808396,F,M,BH,M > F
LPI(18:1),F - M,4s2-,-0.12123760534085237,0.3669874948204694,15,-0.33035895514685565,0.7456978258157192,0.7456978258157192,F,M,BH,M > F
LPI(18:1),F - M,4s2M,0.6295339692179736,0.3760502791148203,15,1.67406861311159,0.11483541499431969,0.11483541499431969,F,M,BH,F > M
Cer(d17:1/20:0),F - M,4s2-,-0.053376035707495925,0.29379267495392314,15,-0.18167925975644947,0.8582667581374882,0.8582667581374882,F,M,BH,M > F
Cer(d17:1/20:0),F - M,4s2M,-0.02547195728262862,0.30104790756524225,15,-0.08461097600257662,0.933689624704551,0.933689624704551,F,M,BH,M > F
CE(17:0),F - M,4s2-,-0.5230064164462701,0.9198462018376098,15,-0.5685802859232787,0.5780549541966759,0.5780549541966759,F,M,BH,M > F
CE(17:0),F - M,4s2M,-0.28134601967137707,0.9425618742484924,15,-0.29849077005761043,0.7694237655525955,0.7694237655525955,F,M,BH,M > F
PC(34:5),F - M,4s2-,1.2042274840770064,0.512189830688408,13,2.3511350907894175,0.03515162411842469,0.03515162411842469,F,M,BH,F > M
PC(34:5),F - M,4s2M,-0.23395331211201686,0.5289873824941335,13,-0.44226633725920944,0.6655651088068497,0.6655651088068497,F,M,BH,M > F
DG(18:1_20:3),F - M,4s2-,0.5830649035822448,1.0920782118463563,15,0.5339039798225329,0.6012313432130041,0.6012313432130041,F,M,BH,F > M
DG(18:1_20:3),F - M,4s2M,-1.1220201430802248,1.119047166936681,15,-1.0026567031590652,0.3319277881525836,0.3319277881525836,F,M,BH,M > F
AC(18:3),F - M,4s2-,0.5796349871754531,1.240074351510451,15,0.4674195434083761,0.6469179094071891,0.6469179094071891,F,M,BH,F > M
AC(18:3),F - M,4s2M,0.7535357176107771,1.270698082605687,15,0.5930092505259633,0.562009978294574,0.562009978294574,F,M,BH,F > M
AC(20:5),F - M,4s2-,0.3081384161424667,0.3653978329198648,15,0.8432956859107711,0.4123093578765801,0.4123093578765801,F,M,BH,F > M
AC(20:5),F - M,4s2M,0.13781937820059215,0.3744213603918186,15,0.3680863133886621,0.7179514373039884,0.7179514373039884,F,M,BH,F > M
Cer(d17:1/23:0),F - M,4s2-,0.17029180078588302,0.33795469199594014,15,0.5038894408601042,0.6216588203438771,0.6216588203438771,F,M,BH,F > M
Cer(d17:1/23:0),F - M,4s2M,0.2275139325945562,0.3463005090007439,15,0.6569841125877972,0.5211445882712231,0.5211445882712231,F,M,BH,F > M
CE(22:5),F - M,4s2-,-2.018335451756129,0.7078015011924498,15,-2.851555765784322,0.012128257158730324,0.012128257158730324,F,M,BH,M > F
CE(22:5),F - M,4s2M,-0.49201817109364687,0.7252807134791327,15,-0.6783830894019808,0.5078601700255582,0.5078601700255582,F,M,BH,M > F
PE(16:0_22:6),F - M,4s2-,-0.40242742944860477,0.2824908002080099,14,-1.4245682661250578,0.17619091805974796,0.17619091805974796,F,M,BH,M > F
PE(16:0_22:6),F - M,4s2M,-0.22835441259646538,0.28249080020800993,14,-0.8083605286555114,0.4324054076944778,0.4324054076944778,F,M,BH,M > F
