Subclass,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
Acylcarnitine,(F 4s2-) - (M 4s2-),0.10654933060968094,0.37388313720585137,15,0.28498030535947216,0.9332686028279724,0.7795562652869634,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
Acylcarnitine,(F 4s2-) - F 4s2M,-0.025666996021394668,0.3014342219896045,15,-0.08514957542637558,0.9332686028279724,0.9332686028279724,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
Acylcarnitine,(F 4s2-) - M 4s2M,0.1800440811783844,0.3738831372058514,15,0.481551755780995,0.9332686028279724,0.6370742856808123,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
Acylcarnitine,(M 4s2-) - F 4s2M,-0.1322163266310756,0.3831162099170876,15,-0.3451076284652359,0.9332686028279724,0.734805099860907,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
Acylcarnitine,(M 4s2-) - M 4s2M,0.07349475056870347,0.44238449385307943,15,0.16613319768190576,0.9332686028279724,0.8702707317797622,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
Acylcarnitine,F 4s2M - M 4s2M,0.20571107719977907,0.38311620991708767,15,0.5369417212711991,0.9332686028279724,0.5991826210750917,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
CE,(F 4s2-) - (M 4s2-),-0.8873217401659554,0.2721621448224024,15,-3.260268766418531,0.015813624327604622,0.005271208109201541,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.4111542325177202
CE,(F 4s2-) - F 4s2M,0.19016151008649038,0.21942413608879657,15,0.8666389827303949,0.47290943255106843,0.3997908103016806,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
CE,(F 4s2-) - M 4s2M,-0.20039180063379708,0.2721621448224024,15,-0.7362956401029298,0.47290943255106843,0.47290943255106843,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
CE,(M 4s2-) - F 4s2M,1.0774832502524458,0.2788832098353124,15,3.863564432181941,0.009185565817956754,0.0015309276363261255,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.23882471126687557
CE,(M 4s2-) - M 4s2M,0.6869299395321583,0.32202659254176896,15,2.1331466265260657,0.09967968062671297,0.04983984031335648,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
CE,F 4s2M - M 4s2M,-0.39055331072028743,0.2788832098353124,15,-1.4004188740904089,0.2725995844223519,0.18173305628156794,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
COH,(F 4s2-) - (M 4s2-),-0.08324111407344514,0.23297343684101646,15,-0.3572987341481757,0.9050254830103271,0.7258453616098445,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
