Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
PC(O-18:0/20:4),(4s2-) - 4s2M,F,0.0685465762031614,0.18711002430669083,15,0.3663436871282062,0.7192244044194974,0.7192244044194974,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(O-18:0/20:4),(4s2-) - 4s2M,M,0.10913850289110508,0.2746024417911229,15,0.39744185149716027,0.6966399656780382,0.6966399656780382,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-18:1/22:5),(4s2-) - 4s2M,F,0.2629514490040909,0.16836749621907224,15,1.5617708578498446,0.13918930740989713,0.13918930740989713,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-18:1/22:5),(4s2-) - 4s2M,M,-0.051328258027576554,0.24709593059660362,15,-0.20772603540514184,0.838236844407179,0.838236844407179,(4s2-),4s2M,BH,4s2M > (4s2-)
TG(O-54:2),(4s2-) - 4s2M,F,0.12507158762538176,0.38995109351991675,15,0.3207365992909922,0.7528349874930906,0.7528349874930906,(4s2-),4s2M,BH,(4s2-) > 4s2M
TG(O-54:2),(4s2-) - 4s2M,M,0.08909304869022472,0.5722917457600831,15,0.155677675504295,0.8783627926635422,0.8783627926635422,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/24:0),(4s2-) - 4s2M,F,0.0942720874859378,0.29666138046218027,15,0.3177767437711901,0.7550351216253844,0.7550351216253844,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/24:0),(4s2-) - 4s2M,M,0.11513245639840686,0.4353798774912937,15,0.26444138176943915,0.7950387820222994,0.7950387820222994,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/20:0),(4s2-) - 4s2M,F,0.26467618403689347,0.34169907805616295,15,0.7745885225753822,0.4506208459682971,0.4506208459682971,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/20:0),(4s2-) - 4s2M,M,0.280009688048884,0.5014771471473886,15,0.5583697874204159,0.5848310399079112,0.5848310399079112,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPC(20:1),(4s2-) - 4s2M,F,0.010044360191545948,0.14654551675419983,15,0.06854089032551784,0.9462604112278037,0.9462604112278037,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPC(20:1),(4s2-) - 4s2M,M,0.18207043403430487,0.21507002034420766,15,0.8465635226281711,0.41054159372226584,0.41054159372226584,(4s2-),4s2M,BH,(4s2-) > 4s2M
FA(18:1),(4s2-) - 4s2M,F,0.1808512947187682,0.2198290372532754,15,0.8226906553314015,0.4235700943787426,0.4235700943787426,(4s2-),4s2M,BH,(4s2-) > 4s2M
FA(18:1),(4s2-) - 4s2M,M,0.7471211554646247,0.3226208249933008,15,2.3157871333325697,0.03513467850340837,0.03513467850340837,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/23:0),(4s2-) - 4s2M,F,0.09145124670010711,0.28852327315611365,15,0.3169631541321966,0.7556402681414314,0.7556402681414314,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/23:0),(4s2-) - 4s2M,M,0.2674213161645564,0.42343640120730197,15,0.6315501345705864,0.5371873437634895,0.5371873437634895,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(d16:1/23:0)/SM(d17:1/22:0),(4s2-) - 4s2M,F,-0.009545145731409979,0.26328399617342313,15,-0.03625418130284936,0.9715577605359145,0.9715577605359145,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(d16:1/23:0)/SM(d17:1/22:0),(4s2-) - 4s2M,M,0.015505610189317433,0.3863952693162114,15,0.04012888205582099,0.9685196245900298,0.9685196245900298,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(d18:2/18:1),(4s2-) - 4s2M,F,1.9363313552806432,0.7790899151519375,15,2.485375972172636,0.025222968360649155,0.025222968360649155,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(d18:2/18:1),(4s2-) - 4s2M,M,0.81936516024801,1.1433914022954386,15,0.7166095167438524,0.48462410383712906,0.48462410383712906,(4s2-),4s2M,BH,(4s2-) > 4s2M
COH,(4s2-) - 4s2M,F,-0.05427192094422628,0.18782918963192277,15,-0.28894295423719607,0.7765800035268866,0.7765800035268866,(4s2-),4s2M,BH,4s2M > (4s2-)
COH,(4s2-) - 4s2M,M,-0.1364154936831716,0.2756578879388745,15,-0.4948724475224192,0.6278600824657554,0.6278600824657554,(4s2-),4s2M,BH,4s2M > (4s2-)
S1P(d18:1),(4s2-) - 4s2M,F,-0.2116512029055415,0.2518480244601314,15,-0.8403925476852283,0.41388400269863745,0.41388400269863745,(4s2-),4s2M,BH,4s2M > (4s2-)
S1P(d18:1),(4s2-) - 4s2M,M,0.19346230267267533,0.369611851279897,15,0.5234201825584094,0.6083285103129205,0.6083285103129205,(4s2-),4s2M,BH,(4s2-) > 4s2M
AC(12:1),(4s2-) - 4s2M,F,0.5163341568575818,0.4557447724962743,15,1.1329458679897482,0.27502195644357574,0.27502195644357574,(4s2-),4s2M,BH,(4s2-) > 4s2M
AC(12:1),(4s2-) - 4s2M,M,-0.18050819113134942,0.6688504681923745,15,-0.2698782459092661,0.7909314262150928,0.7909314262150928,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(O-18:0/22:5),(4s2-) - 4s2M,F,-0.11576666954357957,0.21743255778700327,15,-0.5324256437114836,0.6022296269061489,0.6022296269061489,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(O-18:0/22:5),(4s2-) - 4s2M,M,-0.016641172126782608,0.3191037546728888,15,-0.05214972209851108,0.9590975587137075,0.9590975587137075,(4s2-),4s2M,BH,4s2M > (4s2-)
Cer(m18:0/24:1),(4s2-) - 4s2M,F,0.13869292488307858,0.3148995388397972,15,0.4404354652092316,0.6659025760622868,0.6659025760622868,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:0/24:1),(4s2-) - 4s2M,M,0.4880467525297131,0.46214617631907784,15,1.0560441209682385,0.3076607850841793,0.3076607850841793,(4s2-),4s2M,BH,(4s2-) > 4s2M
CE(16:0),(4s2-) - 4s2M,F,0.05750779882945134,0.2883839457391815,15,0.1994140092717304,0.8446169425986374,0.8446169425986374,(4s2-),4s2M,BH,(4s2-) > 4s2M
