"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gstm1",8432.46953333864,0.331659587311524,0.0658696500580085,5.03508955975091,4.77625472776815e-07,0.00782732624786644
"Kcng3",31.8241056368274,-1.03863076733562,0.212542072808893,-4.88670668169074,1.02536679367022e-06,0.00840185550733375
"Pcdhgc4",1911.62640113689,0.452960376312197,0.100511181926737,4.50656700706557,6.5884885995795e-06,0.0269930377924772
"Isoc2a",633.539153919816,0.326821095392528,0.0724035316095326,4.5138833441862,6.36512373759495e-06,0.0269930377924772
"Lcor",203.426032555836,-0.395544477118359,0.0890650689297418,-4.44107304773301,8.9511400460394e-06,0.0293382566148987
"Utp20",388.257655078109,-0.392765502735417,0.0901317326084242,-4.35768282012041,1.31446688797905e-05,0.0307735476574296
"Zfp280b",373.784959710931,-0.411305352792517,0.0937511204371998,-4.38720466352223,1.14816740930232e-05,0.0307735476574296
"Pura",1624.55115519076,-0.253836321006972,0.060316847998167,-4.20838172801546,2.57206094590277e-05,0.0421509347814546
"Amer1",174.8912943566,-0.349912255965323,0.0827385074367522,-4.22913425448007,2.34592326540686e-05,0.0421509347814546
"Gm3134",66.4028983329563,0.565326326744232,0.133446123527153,4.23636379837742,2.27168611231187e-05,0.0421509347814546
"Ankhd1",814.43196941786,-0.369931072343044,0.0889848375158096,-4.15723715040015,3.22119561145177e-05,0.0430088742707186
"Tcerg1",937.130074220644,-0.32917569040091,0.0794326647634367,-4.14408469590248,3.41173642616147e-05,0.0430088742707186
"Gm57354",170.848777903384,-0.54990268688115,0.1322051022752,-4.15946644582949,3.18991876067626e-05,0.0430088742707186
"Stxbp5l",499.623260628917,-0.656731706292721,0.163129938018619,-4.02581962740501,5.67771995993276e-05,0.0520017379769621
"Acaa2",748.839885017255,0.311816182447679,0.0774811005765506,4.02441602051854,5.71168710999096e-05,0.0520017379769621
"Olfml1",325.102572862488,0.360326578438742,0.0883659201423664,4.07766453241498,4.54903374380795e-05,0.0520017379769621
"Jam2",1280.97126141506,0.318622407852331,0.0787242294834006,4.04732329478708,5.18066645717787e-05,0.0520017379769621
"Pabpc1l2b",161.479995284841,-0.64756865424951,0.160414108668579,-4.03685598245856,5.4172300588345e-05,0.0520017379769621
"Entpd7",171.278259493161,-0.381889492507529,0.095855837991175,-3.98399826771832,6.77653665216503e-05,0.0584494119240424
"Nfat5",1515.5415076336,-0.262991782441036,0.0667384110024807,-3.94063596196889,8.12658742816913e-05,0.0665892573864179
"Cutal",22.7250961682752,1.05904866631682,0.270366748710519,3.91708178379116,8.96273489330222e-05,0.0699434759197318
"Rnf112",4329.22796134941,-0.458359986073119,0.118318220921572,-3.87395941641943,0.000107081252607061,0.070595048624468
